approval_number,predicate_number,sample_size,num_sites,significance,severity,risk_level,body_area,modality,keywords,indications_for_use,inc_exc_criteria,has_demographics,is_prospective,subtype_analysis,image_acquisition,device_classification_name,device_name,applicant_name,applicant_contact,correspondent_name,regulation_number,classification_product_code,date_received,decision_date,decision,regulation_medical_specialty,review_panel,summary_link,type,reviewed_by_third_party,combination_product,classification_advisory,review_advisory,reclass_link
k200855,k180647;den170073,814,3,1,2,3,Head,CT,deep learning;artificial intelligence,cina is a radiological computer aided triage and notification software indicated for use in the analysis of 1 non enhanced head ct images and 2 ct angiographies of the head the device is intended to assist hospital networks and trained radiologists in workflow triage by flagging and communicating suspected positive findings of 1 head ct images for intracranial hemorrhage ich and 2 ct angiographies of the head for large vessel occlusion lvo cina uses an artificial intelligence algorithm to analyze images and highlight cases with detected 1 ich or 2 lvo on a standalone web application in parallel to the ongoing standard of care image interpretation the user is presented with notifications for cases with suspected ich or lvo findings notifications include compressed preview images that are meant for informational purposes only and are not intended for diagnostic use beyond notification the device does not alter the original medical image and it is not intended to be used as a diagnostic device the results of cina are intended to be used in conjunction with other patient information and based on professional judgment to assist with triage prioritization of medical images notified clinicians are ultimately responsible for reviewing full images per the standard of care,0,0,0,0,,radiological computer-assisted triage and notification software,cina,cyril di grandi,cyril di grandi,john j. smith,892.208,qas,3/31/20,6/24/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k200855.pdf,traditional,no,no,,,
k200905,k183285,835,>3,1,2,3,Breast,FFDM Mammogram,artificial intelligence,,1,0,0,0,vendors,radiological computer-assisted prioritization software for lesions,healthmammo,flair  bar,flair  bar,flair  bar,892.208,qfm,4/6/20,7/16/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k200905.pdf,traditional,no,no,,,
k200921,k180647;k190896,1320,2,1,2,3,Head,CT,neural network;deep learning;artificial intelligence,qer is a radiological computer aided triage and notification software indicated for use in the analysis of non contrast head ct images the device is intended to assist hospital networks and trained medical specialists in workflow triage by flagging the following suspected positive findings of pathologies in head ct images intracranial hemorrhage mass effect midline shift and cranial fracture qer uses an artificial intelligence algorithm to analyze images on a standalone cloud based application in parallel to the ongoing standard of care image interpretation the user is presented with notifications for cases with suspected findings notifications include non diagnostic preview images that are meant for informational purposes only the device does not alter the original medical image and is not intended to be used as a diagnostic device the results of the device are intended to be used in conjunction with other patient information and based on professional judgment to assist with triage prioritization of medical images notified clinicians are responsible for viewing full images per the standard of care,0,0,0,1,,radiological computer-assisted triage and notification software,qer,pooja  rao,pooja  rao,pooja  rao,892.208,qas,4/6/20,6/17/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k200921.pdf,traditional,no,no,,,
k200941,k193087,nan,nan,1,2,3,Head,CTA,machine learning;artificial intelligence,rapid lvo is a radiological computer aided triage and notification software indicated for use in the analysis of cta head images the device is intended to assist hospital networks and trained radiologists in workflow triage by flagging and communication of suspected positive large vessel occlusion lvo findings in head cta images rapid lvo uses a software algorithm to analyze images and highlight cases with suspected lvo on a server or standalone desktop application in parallel to the ongoing standard of care image interpretation the user is presented with notifications for cases with suspected lvo findings notifications include compressed preview images that are meant for informational purposes only and not intended for diagnostic use beyond notification the device does not alter the original medical image and is not intended to be used as a diagnostic device the results of rapid lvo are intended to be used in conjunction with other patient information and based on professional judgment to assist with triage prioritization of medical images notified clinicians are responsible for viewing full images per the standard of care contraindications exclusions cautions rapid lvo is one input to physician diagnosis for patients undergoing screening for acute ischemic stroke excessive patient motion may lead to artifacts that make the scan technically inadequate identification of suspected findings is not for diagnostic use beyond notification images that are previewed through email and the mobile application are compressed and are for informational purposes only and not intended for diagnostic use beyond notification notified clinicians are responsible for viewing non compressed images on a diagnostic viewer and engaging in appropriate patient evaluation and relevant discussion with a treating physician before making care related decisions or requests,0,0,0,0,,radiological computer-assisted triage and notification software,rapid lvo,jim  rosa,jim  rosa,jim  rosa,892.208,qas,4/8/20,7/9/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k200941.pdf,traditional,no,no,,,
k200980,k172356,nan,nan,0,0,1,Bladder,Ultrasound,neural network;machine learning;artificial intelligence,the butterfly auto 3d bladder volume tool is a software application package it is designed to view quantify and report results acquired on butterfly network ultrasound systems for noninvasive volume measurements of the bladder to support physician diagnosis indicated for use in adult populations,0,0,0,,,"system, imaging, pulsed echo, ultrasonic",auto 3d bladder volume tool,brian  sawin,brian  sawin,brian  sawin,892.156,iyo,4/14/20,6/11/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k200980.pdf,traditional,no,no,,,
k200990,k083227,nan,nan,1,1,2,Chest,CT,deep learning,,0,0,0,0,,"system, x-ray, tomography, computed",vidavision,sandra  stapleton,sandra  stapleton,alex  morris,892.175,jak,4/15/20,8/7/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k200990.pdf,traditional,no,no,,,
k201020,k190072,268,2,1,1,2,Chest,CT,deep learning;artificial intelligence,briefcase is a radiological computer aided triage and notification software indicated for use in the analysis of contrast enhanced chest ct images but not dedicated ctpa protocol ct the device is intended to assist hospital networks and trained radiologists in workflow triage by flagging and communication of suspected positive cases of incidental pulmonary embolism ipe pathologies for the ipe pathology the software is only intended to be used on single energy exams the device is intended to work with ge and siemens scanners only briefcase uses an artificial intelligence algorithm to analyze images and highlight cases with detected findings on a standalone desktop application in parallel to the ongoing standard of care image interpretation the user is presented with notifications for cases with suspected findings notifications include compressed preview images that are meant for informational purposes only and not intended for diagnostic use beyond notification the device does not alter the original medical image and is not intended to be used as a diagnostic device the results of briefcase are intended to be used in conjunction with other patient information and based on their professional judgment to assist with triage prioritization of medical images notified clinicians are responsible for viewing full images per the standard of care,1,0,0,0,vendors|slice thickness,radiological computer-assisted triage and notification software,briefcase,nimrod  epstein,nimrod  epstein,john j. smith,892.208,qas,4/17/20,8/26/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k201020.pdf,traditional,no,no,,,
k201103,k191262;k153355;k133649,nan,nan,1,1,2,Multiple,"PET,CT",deep learning,the system is intended for use by nuclear medicine nm or radiology practitioners and referring physicians for display processing archiving printing reporting and networking of nmi data including planar scans static whole body dynamic multi gated and tomographic scans spect gated spect dedicated pet or camera based pet acquired by gamma cameras or pet scanners the system can run on dedicated workstation or in a server client configuration the nm or pet data can be coupled with registered and or fused ct or mr scans and with physiological signals in order to depict localize and or quantify the distribution of radionuclide tracers and anatomical structures in scanned body tissue for clinical diagnostic purposes the datquant optional application enables visual evaluation and quantification of 123i ioflupane datscantm images datquant normal database option enables quantification relative to normal population databases of 123i ioflupane datscantm images these applications may assist in detection of loss of functional dopaminergic neuron terminals in the striatum which is correlated with parkinson disease the q lung application may aid physicians in diagnosis of pulmonary embolism pe chronic obstructive pulmonary disease copd emphysema and other lung deficiencies assess the fraction of total lung function provided by a lobe or whole lung for lung cancer resection requiring removal of an entire lobe bilobectomy or pneumonectomy the q brain application allows the user to visualize and quantify relative changes in the brain s metabolic function or blood flow activity between a subject s images and controls which may be resulting from brain function alterations in epileptic seizures dementia such as alzheimer s disease lewy body dementia parkinson s disease with dementia vascular dementia and frontotemporal dementia inflammation brain death cerebrovascular disease such as acute stroke chronic and acute ischemia traumatic brain injury tbi when integrated with the patient s clinical and diagnostic information q brain application may aid the physician in the interpretation of cognitive complaints neuro degenerative disease processes and brain injuries the alcyone cfr application allows for the quantification of coronary vascular function by deriving myocardial blood flow mbf and then calculating coronary flow reserve cfr indices on data acquired on pet scanners and on stationary spect scanners with the capacity for dynamic spect imaging these indices may add information to physicians using myocardial perfusion imaging for the diagnosis of coronary artery disease cad the exini bone application is intended to be used with nm bone scans for the evaluation of adult male patients with bone metastases from prostate cancer exini bone quantifies the selected lesions and provides a bone scan index value as adjunct information related to the progression of disease the q liver application provides processing quantification and multidimensional review of liver spect pet and ct images for display segmentation and a calculation of the spect liver to lung shunt value and the patient s body surface area bsa for use in calculating a therapeutic dose for selective internal radiation therapy sirt treatment k201103 form fda 3881 7 17 page 2 of 2 using a user defined formula,0,0,0,,,"system, image processing, radiological",xeleris v processing and review systems,alexandra  lifshits,alexandra  lifshits,alexandra  lifshits,892.205,llz,4/24/20,9/25/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k201103.pdf,traditional,no,no,,,
k201232,k173420,nan,nan,1,2,3,Multi,"CT,MR",machine learning,limbus contour is a software only medical device intended for use by trained radiation oncologists dosimetrists and physicists to derive optimal contours for input to radiation treatment planning supported image modalities are computed tomography and magnetic resonance the limbus contour software assists in the following scenarios operates in conjunction with radiation treatment planning systems or dicom viewing systems to load save and display medical images and contours for treatment evaluation and treatment planning creation transformation and modification of contours for applications including but not limited to transferring contours to radiotherapy treatment planning systems aiding adaptive therapy and archiving contours for patient follow up localization and definition of healthy anatomical structures limbus contour is not intended for use with digital mammography limbus contour is not intended to automatically contour tumors or tumor clinical target volumes,0,0,0,,,"system, image processing, radiological",limbus contour,jon  giambattista,jon  giambattista,mary  vater,892.205,llz,5/7/20,8/13/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k201232.pdf,traditional,no,no,,,
k201298,k093376;k093566;k130626;k141185,300,8,1,1,2,Heart,ECG,deep learning,the vx1 assists operators in the real time manual annotation of 3d anatomical and electrical maps of human atria for the presence of multipolar intra cardiac atrial electrograms exhibiting spatiotemporal dispersion during atrial fibrillation or atrial tachycardia the clinical significance of utilizing the vx1 software to help identify areas with intra cardiac atrial electrograms exhibiting spatiotemporal dispersion for catheter ablation of atrial arrhythmias such as atrial fibrillation has not been established by clinical investigations,0,0,0,,,"computer, diagnostic, programmable",vx1,théophile mohr durdez,théophile mohr durdez,janice  hogan,870.1425,dqk,5/15/20,9/16/20,substantially equivalent     (sese),cardiovascular,cardiovascular,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k201298.pdf,traditional,no,no,,,
k201301,k092116,30,3,0,0,1,Cellular,Microscope,neural network,,0,0,0,,,"device, automated cell-locating",x100 with full field peripheral blood smear (pbs) application,shahar  karny,shahar  karny,yarmela  pavlovic,864.526,joy,5/15/20,10/2/20,substantially equivalent     (sese),hematology,hematology,http://www.accessdata.fda.gov/cdrh_docs/reviews/k201301.pdf,traditional,no,no,,,
k201310,k182177,360,1,1,2,3,Head,CT,deep learning;artificial intelligence,accipioix is a software workflow tool designed to aid in prioritizing the clinical assessment of adult non contrast head ct cases with features suggestive of acute intracranial hemorrhage in the acute care environment accipioix analyzes cases using an artificial intelligence algorithm to identify suspected findings it makes case level output available to a pacs workstation for worklist prioritization or triage accipioix is not intended to direct attention to specific portions of an image or to anomalies other than acute intracranial hemorrhage its results are not intended to be used on a stand alone basis for clinical decision making nor is it intended to rule out hemorrhage or otherwise preclude clinical assessment of ct cases,0,0,0,1,,radiological computer-assisted triage and notification software,accipiolx,joshua  schulman,joshua  schulman,joshua  schulman,892.208,qas,5/15/20,8/7/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k201310.pdf,traditional,no,no,,,
k201369,k170568;k122022;k180647;k163253,1432,>1,1,1,2,Arteries,US,neural network;machine learning;artificial intelligence,,0,0,0,,,"system, image processing, radiological",ava (augmented vascular analysis),sadaf  monajemi,sadaf  monajemi,alan  donald,892.205,llz,5/22/20,9/16/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k201369.pdf,traditional,no,no,,,
k201444,k192065,nan,nan,1,1,2,Heart,Ultrasound,deep learning,"syngo.via RT Image Suite is a 3D and 4D image visualization, multi-modality manipulation and contouring tool that helps the preparation of treatments such as, but not limited to those performed with radiation (for example, Brachytherapy, Particle Therapy, External Beam Radiation Therapy). It provides tools to view existing contours, create, edit, modify, copy contours of regions of the body, such as but not limited to, skin outline, targets and organs-at-risk. It also provides functionalities to create simple geometric treatment plans. Contours, images and treatment plans can subsequently be exported to a Treatment Planning System. The software combines the following digital image processing and visualization tools:  Multi-modality viewing and contouring of anatomical, functional, and multi-parametric images such as but not limited to CT, PET, PET/CT, MRI, Linac Cone Beam CT (CBCT) images  Multiplanar reconstruction (MPR) thin/thick, minimum intensity projection (MIP), volume rendering technique (VRT)  Freehand and semi-automatic contouring of regions-of-interest on any orientation including oblique  Automated Contouring on CT images  Creation of contours on images supported by the application without prior assignment of a planning CT  Manual and semi-automatic registration using rigid and deformable registration  Supports the user in comparing, contouring, and adapting contours based on datasets acquired with different imaging modalities and at different time points  Supports multi-modality image fusion  Visualization and contouring of moving tumors and organs  Management of points of interest including but not limited to the isocenter  Creation of simple geometric treatment plans  Generation of a synthetic CT based on multiple pre-define MR acquisitions",0,0,0,,,"system, planning, radiation therapy treatment",syngo.via rt image suite,cynthia  busch,cynthia  busch,cynthia  busch,892.505,muj,6/1/20,8/13/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k201444.pdf,traditional,no,no,,,
k201632,k200974;k191647;k150122,nan,nan,0,1,1,Heart,ECG,machine learning,"Indications for use of TOMTEC-ARENA software are quantification and reporting of cardiovascular, fetal, and abdominal structures and function of patients with suspected disease to support the physicians in the diagnosis.",0,0,0,,,"system, image processing, radiological",tomtec-arena,marc  bergenthal,marc  bergenthal,marc  bergenthal,892.205,llz,6/16/20,8/14/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k201632.pdf,traditional,no,no,,,
k201710,k162484;k043617;k193220;k200714,nan,nan,1,1,2,Lung,CT,deep learning,aview lcs is intended for the review and analysis and reporting of thoracic ct images for the purpose of characterizing nodules in the lung in a single study or over the time course of several thoracic studies characterizations include nodule type location of the nodule and measurements such as size major axis minor axis estimated effective diameter from the volume of the nodule the volume of the nodule mean hu the average value of the ct pixel inside the nodule in hu minimum hu max hu mass mass calculated from the ct pixel value and volumetric measures solid major length of the longest diameter measured in 3d for a solid portion of the nodule solid 2nd major the length of the longest diameter of the solid part measured in sections perpendicular to the major axis of the solid portion of the nodule vdt volume doubling time lung rads classification proposed to aid with findings and cac score and laa analysis the system automatically performs the measurement allowing lung nodules and measurements to be displayed and also integrate with fda certified mevis cad computer aided detection k043617,0,0,0,,,"system, image processing, radiological",a view lcs,hye yi  park,hye yi  park,hye yi  park,892.205,llz,6/23/20,10/16/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k201710.pdf,traditional,no,no,,,
k201992,k200755,nan,nan,0,1,1,Heart,ECG,artificial intelligence,the caption guidance software is intended to assist medical professionals in the acquisition of cardiac ultrasound images the caption guidance software is an accessory to compatible general purpose diagnostic ultrasound systems the caption guidance software is indicated for use in two dimensional transthoracic echocardiography 2d tte for adult patients specifically in the acquisition of the following standard views parasternal long axis plax parasternal short axis at the aortic valve psax av parasternal short axis at the mitral valve psax mv parasternal short axis at the papillary muscle psax pm apical 4 chamber ap4 apical 5 chamber ap5 apical 2 chamber ap2 apical 3 chamber ap3 subcostal 4 chamber subc4 and subcostal inferior vena cava sc ivc,0,0,0,,,image acquisition and/or optimization guided by artificial intelligence,caption guidance,sam  surette,sam  surette,sam  surette,892.21,qju,7/17/20,9/18/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k201992.pdf,traditional,no,no,,,
k202013,k192973,871,nan,0,2,2,Breast,FFDM,deep learning,WRDensity is a software application intended for use with compatible full-field digital mammography and digital breast tomosynthesis systems. WRDensity provides an ACR BI-RADS 5th Edition breast density category to aid interpreting physicians in the assessment of breast tissue composition. WRDensity produces adjunctive information. It is not a diagnostic aid.,0,0,0,,venders,automated radiological image processing software,wrdensity by whiterabbit.ai,jason  su,jason  su,jason  su,892.205,qih,7/21/20,10/30/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k202013.pdf,traditional,no,no,,,
k202280,k190868,nan,nan,1,1,2,Heart,CT,deep learning;machine learning,cleerly labs is a web based software application that is intended to be used by trained medical professionals as an interactive tool for viewing and analyzing cardiac computed tomography ct data for determining the presence and extent of coronary plaques i e atherosclerosis and stenosis in patients who underwent coronary computed tomography angiography ccta for evaluation of cad or suspected cad this software post processes ct images obtained using any computed tomography ct scanner the software provides tools for the measurement and visualization of coronary arteries the software is not intended to replace the skill and judgment of a qualified medical practitioner and should only be used by people who have been appropriately trained in the software s functions capabilities and limitations users should be aware that certain views make use of interpolated data this is data that is created by the software based on the original data set interpolated data may give the appearance of healthy tissue in situations where pathology that is near or smaller than the scanning resolution may be present,0,0,0,,,"system, image processing, radiological",cleerly labs v2.0,james k. min,james k. min,john  smith,892.205,llz,8/11/20,10/2/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf20/k202280.pdf,traditional,no,no,,,
